,x,y,z,region,septum,mitral_valve
368,7,92,27,heart_myocardium,0,0
369,7,92,28,heart_myocardium,0,0
370,7,92,29,heart_myocardium,0,0
371,7,92,30,heart_myocardium,0,0
372,7,92,31,heart_myocardium,0,0
373,7,92,32,heart_myocardium,0,0
374,7,92,33,heart_myocardium,0,0
375,7,93,21,heart_myocardium,0,0
376,7,93,22,heart_myocardium,0,0
377,7,93,23,heart_myocardium,0,0
378,7,93,24,heart_myocardium,0,0
379,7,93,25,heart_myocardium,0,0
380,7,93,26,heart_myocardium,0,0
381,7,93,27,heart_myocardium,0,0
382,7,93,29,heart_myocardium,0,0
383,7,93,30,heart_myocardium,0,0
384,7,93,31,heart_myocardium,0,0
385,7,93,32,heart_myocardium,0,0
386,7,93,33,heart_myocardium,0,0
387,7,93,34,heart_myocardium,0,0
388,7,94,20,heart_myocardium,0,0
389,7,94,21,heart_myocardium,0,0
390,7,94,22,heart_myocardium,0,0
391,7,94,23,heart_myocardium,0,0
392,7,94,31,heart_myocardium,0,0
393,7,94,32,heart_myocardium,0,0
394,7,94,33,heart_myocardium,0,0
395,7,94,34,heart_myocardium,0,0
396,7,94,35,heart_myocardium,0,0
397,7,95,19,heart_myocardium,0,0
398,7,95,20,heart_myocardium,0,0
399,7,95,21,heart_myocardium,0,0
400,7,95,33,heart_myocardium,0,0
401,7,95,34,heart_myocardium,0,0
402,7,95,35,heart_myocardium,0,0
403,7,96,18,heart_myocardium,0,0
404,7,96,19,heart_myocardium,0,0
405,7,96,20,heart_myocardium,0,0
406,7,96,33,heart_myocardium,0,0
407,7,96,34,heart_myocardium,0,0
408,7,96,35,heart_myocardium,0,0
409,7,97,17,heart_myocardium,0,0
410,7,97,18,heart_myocardium,0,0
411,7,97,19,heart_myocardium,0,0
412,7,97,34,heart_myocardium,0,0
413,7,97,35,heart_myocardium,0,0
414,7,97,36,heart_myocardium,0,0
415,7,98,16,heart_myocardium,0,0
416,7,98,17,heart_myocardium,0,0
417,7,98,18,heart_myocardium,0,0
418,7,98,34,heart_myocardium,0,0
419,7,98,35,heart_myocardium,0,0
420,7,98,36,heart_myocardium,0,0
421,7,99,16,heart_myocardium,0,0
422,7,99,17,heart_myocardium,0,0
423,7,99,34,heart_myocardium,0,0
424,7,99,35,heart_myocardium,0,0
425,7,99,36,heart_myocardium,0,0
426,7,100,15,heart_myocardium,0,0
427,7,100,16,heart_myocardium,0,0
428,7,100,17,heart_myocardium,0,0
429,7,100,35,heart_myocardium,0,0
430,7,100,36,heart_myocardium,0,0
431,7,100,37,heart_myocardium,0,0
432,7,101,15,heart_myocardium,0,0
433,7,101,16,heart_myocardium,0,0
434,7,101,35,heart_myocardium,0,0
435,7,101,36,heart_myocardium,0,0
436,7,101,37,heart_myocardium,0,0
437,7,102,14,heart_myocardium,0,0
438,7,102,15,heart_myocardium,0,0
439,7,102,16,heart_myocardium,0,0
440,7,102,35,heart_myocardium,0,0
441,7,102,36,heart_myocardium,0,0
442,7,102,37,heart_myocardium,0,0
443,7,103,14,heart_myocardium,0,0
444,7,103,15,heart_myocardium,0,0
445,7,103,35,heart_myocardium,0,0
446,7,103,36,heart_myocardium,0,0
447,7,103,37,heart_myocardium,0,0
448,7,104,14,heart_myocardium,0,0
449,7,104,15,heart_myocardium,0,0
450,7,104,35,heart_myocardium,0,0
451,7,104,36,heart_myocardium,0,0
452,7,105,14,heart_myocardium,0,0
453,7,105,15,heart_myocardium,0,0
454,7,105,35,heart_myocardium,0,0
455,7,105,36,heart_myocardium,0,0
456,7,106,14,heart_myocardium,0,0
457,7,106,15,heart_myocardium,0,0
458,7,106,35,heart_myocardium,0,0
459,7,106,36,heart_myocardium,0,0
460,7,107,14,heart_myocardium,0,0
461,7,107,15,heart_myocardium,0,0
462,7,107,34,heart_myocardium,0,0
463,7,107,35,heart_myocardium,0,0
464,7,108,14,heart_myocardium,0,0
465,7,108,15,heart_myocardium,0,0
466,7,108,34,heart_myocardium,0,0
467,7,108,35,heart_myocardium,0,0
468,7,109,14,heart_myocardium,0,0
469,7,109,15,heart_myocardium,0,0
470,7,109,33,heart_myocardium,0,0
471,7,109,34,heart_myocardium,0,0
472,7,110,14,heart_myocardium,0,0
473,7,110,15,heart_myocardium,0,0
474,7,110,33,heart_myocardium,0,0
475,7,110,34,heart_myocardium,0,0
476,7,111,14,heart_myocardium,0,0
477,7,111,15,heart_myocardium,0,0
478,7,111,32,heart_myocardium,0,0
479,7,111,33,heart_myocardium,0,0
480,7,112,14,heart_myocardium,0,0
481,7,112,15,heart_myocardium,0,0
482,7,112,16,heart_myocardium,0,0
483,7,112,32,heart_myocardium,0,0
484,7,112,33,heart_myocardium,0,0
485,7,113,14,heart_myocardium,0,0
486,7,113,15,heart_myocardium,0,0
487,7,113,16,heart_myocardium,0,0
488,7,113,31,heart_myocardium,0,0
489,7,113,32,heart_myocardium,0,0
490,7,114,15,heart_myocardium,0,0
491,7,114,16,heart_myocardium,0,0
492,7,114,17,heart_myocardium,0,0
493,7,114,30,heart_myocardium,0,0
494,7,114,31,heart_myocardium,0,0
495,7,115,15,heart_myocardium,0,0
496,7,115,16,heart_myocardium,0,0
497,7,115,17,heart_myocardium,0,0
498,7,115,18,heart_myocardium,0,0
499,7,115,30,heart_myocardium,0,0
500,7,115,31,heart_myocardium,0,0
501,7,116,16,heart_myocardium,0,0
502,7,116,17,heart_myocardium,0,0
503,7,116,18,heart_myocardium,0,0
504,7,116,19,heart_myocardium,0,0
505,7,116,29,heart_myocardium,0,0
506,7,116,30,heart_myocardium,0,0
507,7,117,17,heart_myocardium,0,0
508,7,117,18,heart_myocardium,0,0
